,old_formation,EE,change_to
6645,Grange Allen,present,Grange Allen
8837,Grange Burn,present,Grange Burn
2077,Grange Mudstone,absent,Grange Mudstone
2078,Grant Lake,absent,Grant Lake
2079,Grantsville,absent,Grantsville
2080,Grau Riffkalk,absent,Grau Riffkalk
2081,Gravel Point,absent,Gravel Point
2082,Gray Mesa,absent,Gray Mesa
2083,Gray Siltstone,absent,Gray Siltstone
2084,Grayling,absent,Grayling
2085,Graylock,absent,Graylock
7969,Grayson Marl,present,Grayson Marl
2086,Great Bear Cape,absent,Great Bear Cape
2087,Great Blue Limestone,absent,Great Blue Limestone
6500,Great Meadows,present,Great Meadows
2088,Great Oolite,absent,Great Oolite
2089,Great Scar Limestone,absent,Great Scar Limestone
2090,Great Seams,absent,Great Seams
2091,Great Valley Series,absent,Great Valley Series
2092,Greben,absent,Greben
33,Green Beds,absent,Green Beds
6693,Green Point,present,Green Point
2093,Greene,absent,Greene
8530,Greenhorn,present,Greenhorn Limestone
8529,Greenhorn Limestone,present,Greenhorn Limestone
2094,Greensand,absent,Greensand
2095,Gregg Ranch,absent,Gregg Ranch
2096,Greir Bu Hascisc,absent,Greir Bu Hascisc
6827,Grenola,present,Grenola Limestone
6829,Grenola Limestone,present,Grenola Limestone
