,old_formation,EE,change_to
7827,Rincon,present,Rincon
4614,Ringstead,present,Ringstead
6956,Ringstead Coral Bed,present,Ringstead
4615,Ringstrand,absent,Ringstrand
4616,Rio,absent,Rio
4617,Río Baguales & Río Bandurrias,absent,Río Baguales & Río Bandurrias
4618,Río Banana,present,Rio Banano
8567,Rio Banano,present,Rio Banano
4619,Río Banano,present,Rio Banano
4620,Río Banano,present,Rio Banano
8143,Rio Belgrano,present,Rio Belgrano
4621,Río Belgrano,present,Rio Belgrano
4622,Rio Blanco,absent,Rio Blanco
7304,Rio Chitagá,present,Rio Chitagá
4623,Rio Dande,absent,Rio Dande
8021,Rio del Lago,present,Rio del Lago
7426,Río del Peñón,present,Río del Peñón
4624,Rio Dell,absent,Rio Dell
7690,Rio Foyel,present,Rio Foyel
4625,Río Foyel,present,Rio Foyel
4626,Rio Genoa,absent,Rio Genoa
4627,Rio Grande,present,Rio Grande Limestone
10182,Rio Grande Limestone,present,Rio Grande Limestone
9325,Rio Gurabo,present,Rio Gurabo
8103,Rio Hatillo,present,Rio Hatillo
4628,Rio Lajas Limestone,absent,Rio Lajas Limestone
8068,Rio Mayer,present,Rio Mayer
9478,Rio Palomar,present,Rio Palomar
4629,Rio Schiefer,absent,Rio Schiefer
6610,Rio Shale,present,Rio Shale
10184,Rio Tascadero,present,Rio Tascadero
4630,Rio-Schiefer,absent,Rio Schiefer
6918,Ripley,present,Ripley
8066,Risan Aneiza,present,Risan Aneiza
4631,Risdon,absent,Risdon
4632,Ritoque,absent,Ritoque
8910,Riukiu Limestone,present,Riukiu Limestone
4633,Riukiu limestone,present,Riukiu Limestone
9985,Riukiu Limestone,present,Riukiu Limestone
7365,Riva di Solto,present,Riva di Solto Shale
4634,Riva di Solto Shale,present,Riva di Solto Shale
6933,River Bend,present,River Bend
4635,Rivière,absent,Rivière
8158,Riviere Gauche,present,Riviere Gauche
4636,Rizan Aneiza,absent,Rizan Aneiza
4637,Röa,absent,Röa
4638,Road,absent,Road
7612,Road Canyon,present,Road Canyon
6484,Road River,present,Road River
4639,Road River and /or Delorme,present,Road River
4640,Robb,absent,Robb
4641,Roberts Mountain,absent,Roberts Mountain
4642,Roberts Mountains,absent,Roberts Mountain
7568,Robertson,present,Robertson
4643,Roc de Murviel,absent,Roc de Murviel
6939,Roca,present,Roca Shale
6832,Roca Shale,present,Roca Shale
4644,Rocallosa,absent,Rocallosa
4645,Rochdale,absent,Rochdale
4646,Rochester,absent,Rochester Shale
4647,Rochester Shale,absent,Rochester Shale
4648,Rock Stream,absent,Rock Stream
4649,Rockdale Run,absent,Rockdale Run
7000,Rockford Limestone,present,Rockford Limestone
4650,Rockport Quarry,absent,Rockport Quarry
4651,Rockway,absent,Rockway
4652,Rocky Bay,absent,Rocky Bay
8343,Roda,present,Roda
4653,Rodai,absent,Rodai
7470,Rodanas,present,Rodanas
4654,Rodert,absent,Rodert
4655,Rodert or Kerpen,absent,Rodert or Kerpen
4656,Rodiles,absent,Rodiles
9066,Rodionovskii,present,Rodionovskii
7274,Rødvig,present,Rødvig
4657,Roe Calcarenite,absent,Roe Calcarenite
7047,Roeburndale,present,Roeburndale
9317,Rogers City,present,Rogers City
4658,Rohatce,absent,Rohatce
4659,Rojales Sandstone,absent,Rojales Sandstone
7253,Roka,present,Roka
4660,Rollston Range,absent,Rollston Range
9621,Roma,present,Roma
4661,Romaine,absent,Romaine
8028,Romiron,present,Romiron
4662,Romirón,present,Romiron
7856,Romney,present,Romney
4663,Romualdo,absent,Romualdo
4664,Roncelles,absent,Roncelles
4665,Rongxi,absent,Rongxi
7190,Rongxi 1,present,Rongxi 1
48,Rongxi 2,absent,Rongxi 2
9600,Rongxian,present,Rongxian
7084,Root Shale,present,Root Shale
4666,Rootsiküla,absent,Rootsiküla
4667,Roque Redonde,absent,Roque Redonde
4668,Rosa Blanca,absent,Rosa Blanca
4669,Rosablanca,absent,Rosablanca
4670,Rosan,absent,Rosan
9782,Rosario,present,Rosario
8124,Rosarito Beach,present,Rosarito Beach
4671,Rose Hill,absent,Rose Hill
4672,Rose's Pride,absent,Rose's Pride
4673,Rosebank Shale,absent,Rosebank Shale
9887,Roseburg,present,Roseburg
4674,Rosella,absent,Rosella
4675,Rosenum Slate,absent,Rosenum Slate
8240,Rosignano Limestone,present,Rosignano Limestone
4676,Ross,absent,Ross
4677,Ross Mine,absent,Ross Mine
4678,Rosse Ammonitico,absent,Rosse Ammonitico
4679,Rossendale,absent,Rossendale
4680,Rossfeld,absent,Rossfeld
4681,rosso Ammonitico,absent,Rosso Ammonitico
4682,Rosso Ammonitico,absent,Rosso Ammonitico
4683,Rosso Ammonitico Veronese,absent,Rosso Ammonitico
4684,Rosso Ammonitiko,absent,Rosso Ammonitico
10114,Röt,present,Röt
4685,Roteisenstein,absent,Roteisenstein
4686,Roterzschicht,absent,Roterzschicht
4687,Rothäuser Grauwacke,absent,Rothäuser Grauwacke
4688,Rottnest Limestone,absent,Rottnest Limestone
9509,Rotzo,present,Rotzo
4689,Roubidoux,absent,Roubidoux
6617,Rouid-Aissa,present,Rouid-Aissa
4690,Rouillon,absent,Rouillon
10039,Round Mountain,present,Round Mountain
10258,Round Mountain Silt,present,Round Mountain
4691,Round Valley,absent,Round Valley
9842,Royuela,present,Royuela
4692,Ruatangata,absent,Ruatangata Sandstone
4693,Ruatangata Sandstone,absent,Ruatangata Sandstone
4694,Ruddell,absent,Ruddell
7781,Rudeis,present,Rudeis
4695,Rügen White Chalk,absent,Rügen White Chalk
7328,Rugo Mizza Sandstone,present,Rugo Mizza Sandstone
4696,Ruiping,absent,Ruiping
4697,Rumoi,absent,Rumoi
10162,Rumsey,present,Rumsey
4698,Rupasca,absent,Rupasca
4699,Rupel,absent,Rupel
10108,Rurikfjellet,present,Rurikfjellet
4700,Rusanov,absent,Rusanov
4701,Rusavkino,absent,Rusavkino
4702,Rushford,absent,Rushford Sandstone
4703,Rushford Sandstone,absent,Rushford Sandstone
4704,Rushford?,absent,Rushford Sandstone
8212,Rushin,present,Rushin
4705,Rusne,absent,Rusne
4706,Rust,absent,Rust
7749,Rustler,present,Rustler
4707,Ruteh,absent,Ruteh
4708,Rutherford,absent,Rutherford
10043,Rutland,present,Rutland
4709,Ruxton,absent,Ruxton
4710,Rya,absent,Rya
9444,Rybushka,present,Rybushka
4711,Rykhta Suite,absent,Rykhta Suite
8178,Ryoseki,present,Ryoseki
4712,Ryozensan,present,Ryozensan Limestone
9859,Ryozensan Limestone,present,Ryozensan Limestone
4713,Rytteraker,absent,Rytteraker
9987,Ryukyu,present,Ryukyu Limestone
7510,Ryukyu Limestone,present,Ryukyu Limestone
10144,S. Giao,present,S. Giao
4714,S. Gião,present,S. Gião
4715,S'Envestida Calcarenite,absent,S'Envestida Calcarenite
9030,Sa Wer,present,Sa Wer
4716,Sa'ad,absent,Sa'ad
7519,Sa'haronim,present,Sa'haronim
8330,Saanich,present,Saanich
4717,Sabana Grande,absent,Sabana Grande
4718,Sabbie d'Asti,absent,Sabbie d'Asti
4719,Sabbie d’Asti,absent,Sabbie d'Asti
4720,Sabbie di Altavilla,absent,Sabbie di Altavilla
9726,Sabbie di Asti,present,Sabbie d'Asti
4721,Sabbie di Talciona,absent,Sabbie di Talciona
4722,Sabbie Gialle,absent,Sabbie Gialle
7048,Sabden Shale,present,Sabden Shale
4723,Sabinal,absent,Sabinal
4724,Sabine Bay,absent,Sabine Bay
8797,Sabinetown Bluff,present,Sabinetown Bluff
4725,Sablé,absent,Sablé
7671,Sable de Vauroux-Saint-Antoine,present,Sable de Vauroux-Saint-Antoine
4726,Sables à Gryphaea virleti,absent,Sables à Gryphaea virleti
4727,Sables à Mactres,absent,Sables à Mactres
6881,Sables a Nummulites variolarius,present,Sables a Nummulites variolarius
4728,Sables a Pugilina,absent,Sables a Pugilina
9705,Sables d'Aizy,present,Sables d'Aizy
10060,Sables d'Anvers,present,Sables d'Anvers
9703,Sables de Bracheux,present,Sables de Bracheux
9686,Sables de Cresnes,present,Sables de Cresnes
9706,Sables de Cuise,present,Sables de Cuise
4729,Sables de Fontainbleau,absent,Sables de Fontainbleau
4730,Sables de Mons-en-Peleve,absent,Sables de Mons-en-Peleve
4731,Sables de Mortinsart,absent,Sables de Mortinsart
9704,Sables de Pierrefonds,present,Sables de Pierrefonds
9707,Sables de Pourcy,present,Sables de Pourcy
8964,Sables du Perche,present,Sables du Perche
7966,Sables et Grès du Mans,present,Sables et Grès du Mans
4732,Sables jaunes,absent,Sables jaunes
4733,Sables jaunes de Castell'arquato,absent,Sables jaunes de Castell'arquato
9736,Sables Moyens,present,Sables Moyens
4734,Sables verts de l'Aube,absent,Sables verts de l'Aube
4735,Sabudani,absent,Sabudani
4736,Sabz,absent,Sabz
4737,Sadler,absent,Sadler
4738,Sadler Limestone,absent,Sadler Limestone
4739,Saelabonn,absent,Saelabonn
4740,Saergan,absent,Saergan
6586,SaErGanTag,present,SaErGanTag
4741,Safetdara,absent,Safetdara
4742,Safetdaron,absent,Safetdaron
4743,Safonovo,absent,Safonovo
4744,Safonovski,absent,Safonovski
4745,Safranica,absent,Safranica
4746,Safsaf,absent,Safsaf Limestone
4747,Safsaf Limestone,absent,Safsaf Limestone
4748,Saginaw Bay,absent,Saginaw Bay
10241,Sagnari,present,Sagnari
4749,Sahabi,absent,Sahabi
8365,Saharonim,present,Saharonim
4750,Saheb el Djir,absent,Saheb el Djir
4751,Sahinkaya,absent,Sahinkaya
4752,Saidabad Coral Limestone,absent,Saidabad Coral Limestone
7526,Saikra Biohermal Complex,present,Saikra Biohermal Complex
4753,Sailmhor,absent,Sailmhor
4754,Sains,absent,Sains
9552,Saint Cenere,present,Saint Cenere
4755,Saint Cirac,absent,Saint Cirac
4756,Saint Fiacre,absent,Saint Fiacre
4757,Saint Leon,absent,Saint Leon
8308,Saint Marys,present,Saint Marys
4758,Saint-Cenere,present,Saint Cenere
6594,Saint-Chinian,present,Saint-Chinian
4759,Saint-Fiacre,absent,Saint Fiacre
4760,Saint-Germain-sur-Ille,absent,Saint-Germain-sur-Ille
4761,Saiq,absent,Saiq
9125,Saiwan,present,Saiwan
4762,Saka,absent,Saka
8543,Sakamizu,present,Sakamizu
4763,Sakamotosawa,absent,Sakamotosawa
4764,Sakamotozawa,absent,Sakamotosawa
4765,Sakaraul Horizon,absent,Sakaraul Horizon
8268,Sakasagawa,present,Sakasagawa
8321,Sakasegawa,present,Sakasagawa
4766,Sakha,absent,Sakha
4767,Sakhana,absent,Sakhana
8974,Sakishima,present,Sakishima
4768,Sakla,absent,Sakla
7418,Saku,present,Saku
4769,Sakuragawa,absent,Sakuragawa
7787,Sakuragicho,present,Sakuragicho
4770,Sakyna,absent,Sakyna
4771,Salaany Gol,absent,Salaany Gol
7602,Salada,present,Salada
4772,Saladillo,absent,Saladillo
7299,Salairka Horizon,present,Salairka Horizon
7728,Salamanca,present,Salamanca
4773,Salamonie Dolomite,absent,Salamonie Dolomite
4774,Salany-Gol,absent,Salanygol
4775,Salanygol,absent,Salanygol
4776,Salayar,absent,Salayar
4777,Saldus,absent,Saldus
9318,Salem,present,Salem
6866,Salem Limestone,present,Salem Limestone
4778,Salesville,absent,Salesville
4779,Salima,absent,Salima
8762,Salina,present,Salina
10094,Salinas,present,Salinas
,,,
4781,Salobral,absent,Salobral
9837,Salperton Limestone,present,Salperton Limestone
4782,Salsomaggiore,absent,Salsomaggiore
4783,Salt Mountain Limestone,absent,Salt Mountain Limestone
4784,Salthill Cap Beds,absent,Salthill Cap Beds
10032,Saltrio,present,Saltrio
6489,Saluda,present,Saluda
4785,Saludu,absent,Saludu
4786,Salzberg,absent,Salzberg
7530,Samalut,present,Samalut
7831,Saman,present,Saman
9576,Samhan,present,Samhan
4787,Samlat,absent,Samlat
4788,Samnuuruul,absent,Samnuuruul
4789,Samodi,absent,Samodi
10305,Sampolakosa,present,Sampolakosa
9803,Sámsonháza,present,Sámsonháza
4790,Samuelsen,absent,Samuelsen
4791,Samuelsen Hoj,absent,Samuelsen Hoj
4792,Samuelsen Høj,absent,Samuelsen Hoj
8411,San Andres,present,San Andres
4793,San Antonio - La Julian,absent,San Antonio - La Julian
4794,San Benito,absent,San Benito
4795,San Carlos,absent,San Carlos
4796,San Cassian,absent,San Cassian
7784,San Cassiano,present,San Cassiano
8986,San Cayetano,present,San Cayetano
9518,San Diego,present,San Diego
7838,San Emigdio,present,San Emigdio
4797,San Emiliano,absent,San Emiliano
9374,San Fernando,present,San Fernando
9769,San Francisquito,present,San Francisquito
4798,San Germán,absent,San Germán
4799,San Gião,absent,San Gião
9350,San Gil,present,San Gil
10273,San Gil Inferior,present,San Gil Inferior
10275,San Gil Superior,present,San Gil Superior
7611,San Gregorio,present,San Gregorio
4800,San Hipolito,absent,San Hipolito
10246,San Joaquin,present,San Joaquin
4801,San José,absent,San José
8570,San Juan,present,San Juan
8069,San Juan Raya,present,San Juan Raya
8468,San Juan Terrace,present,San Juan Terrace
10022,San Julian,present,San Julian
8339,San Julián,present,San Julián
7338,San Lorenzo,present,San Lorenzo
4802,San Lucas,absent,San Lucas
4803,San Luis,absent,San Luis
6772,San Marcos,present,San Marcos
7341,San Margarita,present,San Margarita
4804,San Marino,absent,San Marino
7330,San Martino Calcarenite,present,San Martino Calcarenite
4805,San Mateo,absent,San Mateo
10,San Miguel,absent,San Miguel
4806,San Pablo,absent,San Pablo
8329,San Pedro,present,San Pedro
9406,San Pedro Sand,present,San Pedro Sand
10087,San Rafael,present,San Rafael
9752,San Ramon,present,San Ramon
9001,San Ricardo,present,San Ricardo
10308,San Salvatore,present,San Salvatore
8860,San Sebastian,present,San Sebastian
8876,San Sebastián,present,San Sebastian
8829,San Viligio Oolite,present,San Viligio Oolite
4807,Sanadinovo,absent,Sanadinovo
4808,Sanandinovo,absent,Sanadinovo
4809,Sanashtykgol',absent,Sanashtykgol'
4810,Sanbao'ao,absent,Sanbao'ao
,,,
9787,Sandakan,present,Sandakan
4812,Sandaogou,absent,Sandaogou
4813,SanDaoGou,absent,SanDaoGou
4814,Sandaokan,absent,Sandaokan
4815,Sandford Limestone,absent,Sandford Limestone
6847,Sandgate,present,Sandgate
9432,Sandilands,present,Sandilands
8306,Sándorhegy,present,Sandorhegy Limestone
8383,Sandorhegy Limestone,present,Sandorhegy Limestone
8223,Sandringham Sandstone,present,Sandringham Sandstone
4816,Sandrock,absent,Sandrock
4817,Sands of Bois-Gouët,absent,Sands of Bois-Gouët
4818,Sandsfoot,present,Sandsfoot
6960,Sandsfoot Grit,present,Sandsfoot
4819,Sandu,absent,Sandu
6922,Sandy Hook,present,Sandy Hook
7647,Sang Phou,present,Sang Phou
4820,Sangalt,absent,Sangalt
4821,Sanganeh,absent,Sanganeh
4822,Sangitovar,absent,Sangitovar
4823,Sangomore,absent,Sangomore
4824,Sangsurière,absent,Sangsurière
9888,Sanhedong,present,Sanhedong
9936,Sanikawa,present,Sanikawa
4825,Sanjushan,absent,Sanjushan
8267,Sankebetsu,present,Sankebetsu
4826,Sannine,absent,Sannine Limestone
4827,Sannine Limestone,absent,Sannine Limestone
4828,Sanqiao,absent,Sanqiao
4829,Sanquanzi,absent,Sanquanzi
4830,Sanqushan,absent,Sanqushan
4831,Sans Sault,absent,Sans Sault
7143,Sant Corneli,present,Sant Corneli
4832,Sant Elm,absent,Sant Elm
4833,Sant Marti Xic Limestone,absent,Sant Marti Xic Limestone
4834,Sant Marti Xic Limestone/Terminal Complex,absent,Sant Marti Xic Limestone
4835,Sant'Agata Fossili,absent,Sant'Agata Fossili
7906,Santa,present,Santa
4836,Santa Ana,absent,Santa Ana
8799,Santa Anita,present,Santa Anita
10065,Santa Barbara,present,Santa Barbara
8928,Santa Clara,present,Santa Clara
7342,Santa Cruz,present,Santa Cruz
6558,Santa Gertrudis,present,Santa Gertrudis
8917,Santa Inés,present,Santa Inés
4837,Santa Linya,absent,Santa Linya
4838,Santa Lucia,absent,Santa Lucia
8884,Santa Margarita,present,Santa Margarita
8148,Santa Marta,present,Santa Marta
9366,Santa Rita,present,Santa Rita
4839,Santa Rosa Flat,absent,Santa Rosa Flat
6555,Santa Rosita,present,Santa Rosita
9361,Santa Susana,present,Santa Susana
4840,Santa Vitória,absent,Santa Vitória
4841,Santao,absent,Santao
4842,Santed,absent,Santed
9809,Santee,present,Santee Limestone
6944,Santee Limestone,present,Santee Limestone
8861,Santiago,present,Santiago
10281,Santo Domingo,present,Santo Domingo
4843,Santo Spirito,absent,Santo Spirito
9990,Sanuki,present,Sanuki
4844,Sanya,absent,Sanya
4845,Sao Domingos,absent,Sao Domingos
10226,Sao Giao,present,Sao Giao
10096,São Gião,present,Sao Giao
4846,Sao Khua,absent,Sao Khua
4847,Sapotal,absent,Sapotal
9263,Sappington,present,Sappington
4848,Saqqara Limestone,absent,Saqqara Limestone
4849,Saraburi,absent,Saraburi
4850,Saratoga,absent,Saratoga
8531,Saratoga Chalk,present,Saratoga Chalk
8620,Saraynin,present,Saraynin
4851,Särdal Beds,absent,Särdal Beds
4852,Sardar,absent,Sardar
4853,Sardinero,absent,Sardinero
4854,Sardzhal,absent,Sardzhal
4855,Sarga,absent,Sarga
4856,Sargardon,absent,Sargardon
6671,Sarka,present,Sarka
4857,Sartai-Šventupis,absent,Sartai-Šventupis
4858,Sartakht,absent,Sartakht
4859,Sarumaru,absent,Sarumaru
4860,Sarybidaik,absent,Sarybidaik
4861,Sarydiirmen,absent,Sarydiirmen
4862,Sarydinrmen,absent,Sarydinrmen
4863,Sarykamshskiy,absent,Sarykamshskiy
6471,Sarykumy,present,Sarykumy
4864,Sasage Conglomerate,absent,Sasage Conglomerate
4865,Sasnava,absent,Sasnava
4866,Sassenach,absent,Sassenach
8731,Satanka,present,Satanka
4867,Sath El-Hadid,absent,Sath El-Hadid
7272,Satilla,present,Satilla
4868,Saturday Mountain,absent,Saturday Mountain
8835,Sauce Grande,present,Sauce Grande
4869,Saugh Hill Grits,absent,Saugh Hill Grits
10255,Saugus,present,Saugus
8618,Sauma,present,Sauma
4870,Saunja,absent,Saunja
8654,Sauquoit,present,Sauquoit
4871,Sausbee,absent,Sausbee
4872,Sauvere,absent,Sauvere
4873,Savel'evsk oil shales,absent,Savel'evsk oil shales
9335,Savina,present,Savina
4874,Savinskaya,absent,Savinskaya
8210,Sawtooth,present,Sawtooth
8445,Saxicava Clay,present,Saxicava Clay
4875,Saxler,absent,Saxler
4876,Scaglia Bianca,absent,Scaglia Bianca
4877,Scaglia Rossa Veneta,absent,Scaglia Rossa Veneta
4878,Scaglia Variegata Alpina,absent,Scaglia Variegata Alpina
6488,Scales,present,Scales
6577,Scales Shale,present,Scales
4879,Scalpa,present,Scalpa
7334,Scalpa Sandstone,present,Scalpa
49,Scaphiten-Pläner,absent,Scaphiten-Pläner
7788,Scarborough,present,Scarborough
4880,Scenic Drive,absent,Scenic Drive
4881,Schaghticoke,absent,Schaghticoke
4882,Schei Point,absent,Schei Point
10269,Scheibelberg,present,Scheibelberg
4883,Schistes à nodules,absent,Schistes à nodules
6596,Schistes Botella,present,Schistes Botella
4884,Schistes Cartons,absent,Schistes Cartons
6603,Schistes d'Angers,present,Schistes d'Angers
6598,Schistes d'Ecalgrain,present,Schistes d'Ecalgrain
6600,Schistes d’Angers,present,Schistes d’Angers
4885,Schistes de Beaulieu,absent,Schistes de Beaulieu
6624,Schistes de Beaumont,present,Schistes de Beaumont
4886,Schistes de Kerloc'h,absent,Schistes de Kerloc'h
6604,Schistes de Morgat,present,Schistes de Morgat
4887,Schistes de Saint-Chinian,absent,Schistes de Saint-Chinian
6605,Schistes du Courijou,present,Schistes du Courijou
9913,Schlern,present,Schlern
4888,Schlern 1,present,Schlern
4889,Schlern Dolomite,absent,Schlern Dolomite
7718,Schmidt,present,Schmidt
4890,Schmiedefeld,absent,Schmiedefeld
4891,Schnoll,absent,Schnoll
6354,Schodack,present,Schodack
4892,Schoharie Grit,absent,Schoharie Grit
4893,Schönleiten,absent,Schönleiten
4894,Schoolcraft,absent,Schoolcraft
4895,Schoonover,absent,Schoonover
4896,Schrambach,absent,Schrambach
4897,Schrammstein,absent,Schrammstein
7770,Schrattenkalk,present,Schrattenkalk
4898,Schreyeralm,absent,Schreyeralm
4899,Schroyer,absent,Schroyer
9190,Schuchert Dal,present,Schuchert Dal
4900,Schwagerina Limestone,absent,Schwagerina Limestone
4901,Schwarz Gastropoden-Kalk,absent,Schwarz Gastropoden-Kalk
10211,Schwarzschiefer Rotschiefer,present,Schwarzschiefer Rotschiefer
7807,Schwelm,present,Schwelm Limestone
4902,Schwelm Limestone,present,Schwelm Limestone
4903,Sciliar Dolomite,absent,Sciliar Dolomite
4904,Scisti a Fucoidi,absent,Scisti a Fucoidi
4905,Scoresby Bay,absent,Scoresby Bay
4906,Scotch Grove,absent,Scotch Grove
4907,Scotland,absent,Scotland
8816,Scotts Mills,present,Scotts Mills
9339,Scranton,present,Scranton
4908,Scremerston,absent,Scremerston
9883,Scripps,present,Scripps
4909,Scunthorpe Mudstone,absent,Scunthorpe Mudstone
4910,Scyphocrinites Limestone,absent,Scyphocrinites Limestone
4911,Seabee,absent,Seabee
4912,Seaford,absent,Seaford
8174,Sebayashi,present,Sebayashi
4913,Sebisurkhskaya,absent,Sebisurkhskaya
4914,Seca,absent,Seca
6818,Second Abden Limestone,present,Second Abden Limestone
6966,Second Abden Shale,present,Second Abden Shale
4915,Second Value,absent,Second Value Dolomite
4916,Second Value Dolomite,absent,Second Value Dolomite
4917,Second White Speckled Shale,absent,Second White Speckled Shale
4918,Second White Specks,absent,Second White Specks
9856,Second',present,Second'
4919,Secret Canyon,absent,Secret Canyon
4920,Sed'yu,absent,Sed'yu
9014,Sedgley Limestone,present,Sedgley Limestone
4921,Sedini,absent,Sedini
7199,Sedrina,present,Sedrina Limestone
7368,Sedrina Limestone,present,Sedrina Limestone
4922,Sedwick,absent,Sedwick
4923,Seefeld,absent,Seefeld
4924,Seefelder,absent,Seefelder
4925,Segerstad,absent,Segerstad Limestone
4926,Segerstad Limestone,absent,Segerstad Limestone
8532,Sego Sandstone,present,Sego Sandstone
8683,Seguin,present,Seguin
4927,Seheb El Rhassel,absent,Seheb El Rhassel
9680,Seidan,present,Seidan
4928,Seifen,absent,Seifen
9937,Sekinobana,present,Sekinobana
4929,Sekiya,absent,Sekiya
4930,Sekule,absent,Sekule
4931,Sekwi,absent,Sekwi
4932,Sekwi Fm,absent,Sekwi
4933,Selander,absent,Selander
4934,Selby Limestone,absent,Selby Limestone
6456,Sellick Hill,present,Sellick Hill
4935,Selman,absent,Selman
4936,Selong,absent,Selong
7982,Selscheid,present,Selscheid
7030,Selsey,present,Selsey
4937,Selsey Sand,present,Selsey
4938,Semanggol,absent,Semanggol
4939,Semiluki,absent,Semiluki
50,Sengenthal,absent,Sengenthal
9585,Senhata,present,Senhata
4940,Senice,absent,Senice
7596,Senja,present,Senja
4941,Senkoy,absent,Senkoy
9100,Senmatsu,present,Senmatsu
4942,Senneville,absent,Senneville
4943,Senpohshi,absent,Senpohshi
4944,Sentolo,absent,Sentolo
4945,Senyus,absent,Senyus
51,Senzeille,absent,Senzeille
4946,Septarienton,absent,Septarienton
4947,Septembersø,absent,Septembersø
9675,Sepultura,present,Sepultura
4948,Sepulturas,absent,Sepulturas
4949,Sequatchie,absent,Sequatchie
9659,Seria,present,Seria
,,,
4951,Serla,absent,Serla
10285,Seroe Domi,present,Seroe Domi
4952,Serra de Aire,absent,Serra de Aire
4953,Serra Grande,absent,Serra Grande
10086,Serraduy,present,Serraduy
10300,Serraduy,present,Serraduy
4954,Serraduy ,present,Serraduy
4955,Serre,absent,Serre
8292,Sertunayskaya,present,Sertunayskaya
9849,Servino,present,Servino
4956,Sesong,absent,Sesong
8887,Sespe,present,Sespe
9983,Setana,present,Setana
9670,Setap,present,Setap
4957,Sette-Daban,absent,Sette-Daban
4958,Seutlin,absent,Seutlin
9200,Seven Rivers,present,Seven Rivers
6920,Severn,present,Severn
4959,Severn River,absent,Severn River
4960,Severnaya Zemlya,absent,Severnaya Zemlya
4961,Severy Shale,absent,Severy Shale
4962,Sevier Shale,absent,Sevier Shale
4963,Sewa,present,Sewa
10231,Sêwa,present,Sewa
4964,Sewerby Rocks,absent,Sewerby Rocks
4965,Sexton Creek Limestone,absent,Sexton Creek Limestone
4966,Seyahou,absent,Seyahou
4967,Seydisehir,absent,Seydisehir
4968,Sezimskaya,absent,Sezimskaya
4969,Sezymskaya,absent,Sezymskaya
4970,Sfissifa,absent,Sfissifa
6459,Shabakty,present,Shabakty
4971,Shabaowan,absent,Shabaowan
4972,Shackleton,absent,Shackleton Limestone
4973,Shackleton Limestone,absent,Shackleton Limestone
9115,Shadrovskaya,present,Shadrovskaya
4974,Shadscale,absent,Shadscale
4975,Shady,absent,Shady
4976,Shaftesbury,absent,Shaftesbury
8935,Shagra,present,Shagra
7245,Shaimak,present,Shaimak
9233,Shaiwa,present,Shaiwa
10171,Shakhtau Reef,present,Shakhtau Reef
6650,Shakopee,present,Shakopee
4977,Shaksgam,absent,Shaksgam
8215,Shakubetsu,present,Shakubetsu
4978,Shal,absent,Shal
4979,Shale of Chateau Saint-Martin,absent,Shale of Chateau Saint-Martin
9207,Shalem Colony,present,Shalem Colony
,,,
6563,Shallow Bay,present,Shallow Bay
4981,Shamao,absent,Shamao
4982,Shamattawa,absent,Shamattawa
4983,Shan MaJiaGou,present,Shan Majiagou
6712,Shan Majiagou,present,Shan Majiagou
7301,Shanda Horizon,present,Shanda Horizon
4984,Shandinsk,absent,Shandinsk
4985,Shangdamingshan,absent,Shangdamingshan
8993,Shanglan,present,Shanglan
4986,Shangloucun,absent,Shangloucun
4987,Shanglun Dolomite,absent,Shanglun Dolomite
4988,Shangoucong,absent,Shangoucong
4989,Shangsi,absent,Shangsi
4990,Shanxiuling,absent,Shanxiuling
4991,Shanyan,absent,Shanyan
4992,Shar'yu,absent,Shar'yu
4993,Sharaobo,absent,Sharaobo
4994,Sharchuluut,absent,Sharchuluut
4995,Shargynul,absent,Shargynul
8012,Shark Hole Point,present,Shark Hole Point
4996,Shark River,absent,Shark River
4997,Shatang,absent,Shatang
4998,Shawnee,absent,Shawnee
4999,Shawozi,absent,Shawozi
5000,Shazipo,absent,Shazipo
5001,Shazitang,absent,Shazitang
7077,Shedhorn,present,Shedhorn
5002,Sheffield,absent,Sheffield
6744,Sheguiandah,present,Sheguiandah
7053,Shekhan,present,Shekhan
5003,Shelikof,absent,Shelikof
5004,Shell Creek Shale,absent,Shell Creek Shale
7857,Shell Rock,present,Shell Rock
7212,Shellenberger Canyon,present,Shellenberger Canyon
9441,Shemshak,present,Shemshak
9257,Shemulong,present,Shemulong
5005,Shengwan,absent,Shengwan
5006,Shenjiawan,absent,Shenjiawan
5007,Shenley Limestone,absent,Shenley Limestone
5008,Sherburne,absent,Sherburne
5009,Sherenwan,absent,Sherenwan
5010,Sherkirtinskie,absent,Sherkirtinskie
5011,Sherlubai,absent,Sherlubai
5012,Sherman Falls,absent,Sherman Falls
5013,Sherman Falls limestone,absent,Sherman Falls
5014,Sheshma,absent,Sheshma
5015,Sheshmian,absent,Sheshmian
5016,Shetianqiao,absent,Shetianqiao
5017,Shibakita,absent,Shibakita
9991,Shibikawa,present,Shibikawa
9184,Shidaka,present,Shidaka
5018,Shield Creek,absent,Shield Creek
9113,Shigejizawa,present,Shigejizawa
5019,Shihmen,absent,Shihmen
5020,Shihniulan,absent,Shihniulan
5021,Shihtien,absent,Shihtien
6756,Shihtzupu,present,Shihtzupu
5022,Shikhan,absent,Shikhan
5023,Shikhansk,absent,Shikhansk
5024,Shikhany,absent,Shikhany
5025,Shilengshui,absent,Shilengshui
7558,Shimajiri,present,Shimajiri
